Format Version,1.24,Take Name,RADs_3s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.54.27.451 PM,Capture Start Frame,1605685,Total Frames in Take,7649,Total Exported Frames,7649,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,163.383408,182.372665,310.392334,58.871113,170.831512,306.423950,283.691864,185.615265,221.466400,288.727020,191.367172,306.052826,149.925812,222.705948,-20.240868,-54.458344,172.755630,67.144958,358.258026,191.786118,-45.249172,268.564117,190.173508,-36.478668,-51.522152,185.938065,148.550858,267.653259,178.468933,50.830257,364.824280,219.632462,129.146957,156.425339,169.505066,227.331268,282.629028,184.699341,134.629639,76.164421,157.145218,231.491058,-41.182213,190.597305,314.187439,-49.194099,174.931992,233.213531,153.866730,193.143723,141.933960,57.950447,201.397064,-16.082205,151.211548,190.424240,62.128010,68.459679,177.711456,64.956985,-61.776360,190.415268,-10.647030,69.402534,167.417130,147.748779,351.379791,240.756714,292.894928,357.799133,197.893982,44.135521,,,,,,,,,
7,0.058333,163.393295,182.359009,310.405853,58.875736,170.822968,306.407471,283.691711,185.843597,221.511444,288.769196,191.463287,306.032898,149.889832,222.609238,-20.241077,-54.457985,172.745377,67.152420,358.242767,191.783722,-45.275341,268.553040,190.166138,-36.494827,-51.521000,185.943283,148.556808,267.780792,178.278015,50.960453,364.835876,219.652084,129.117432,156.438416,169.508041,227.329590,282.645630,184.709778,134.625549,76.172203,157.148712,231.490585,-41.174862,190.569046,314.188049,-49.182659,174.907928,233.214066,153.873505,193.145828,141.929840,57.949707,201.407196,-16.071669,151.214233,190.442841,62.133389,68.461571,177.725723,64.957817,-61.792061,190.430939,-10.643461,69.415878,167.413086,147.752563,351.477814,240.717194,292.889282,357.758209,197.759338,44.009731,,,,,,,,,
8,0.066667,163.417328,182.350906,310.408905,58.891766,170.782242,306.426086,283.744568,185.807220,221.436707,288.831787,191.653992,306.007874,149.852234,222.698029,-20.285625,-54.451324,172.746597,67.141739,358.224640,191.764206,-45.364124,268.534607,190.185654,-36.515869,-51.513588,185.938019,148.552475,267.692108,178.459152,50.770996,364.845581,219.662933,129.079178,156.473862,169.560684,227.309235,282.648804,184.785400,134.596527,76.191231,157.127304,231.483398,-41.157867,190.534592,314.187500,-49.137657,174.838074,233.179916,153.876007,193.144821,141.928818,57.940845,201.428146,-16.084021,151.210800,190.453644,62.126450,68.462402,177.731323,64.950623,-61.788609,190.418228,-10.649772,69.424416,167.405731,147.742203,351.548462,240.702988,292.864960,357.735016,197.848129,44.003067,,,,,,,,,
9,0.075000,163.418686,182.340591,310.416443,58.918907,170.708313,306.446838,283.735992,186.046875,221.477890,288.904846,191.741776,305.989777,149.832382,222.782867,-20.297558,-54.458393,172.774582,67.158577,358.213104,191.805542,-45.399864,268.531586,190.205902,-36.532169,-51.510159,185.940079,148.558853,267.685516,178.810913,50.720932,364.862488,219.686661,129.050003,156.489182,169.560928,227.320251,282.657654,184.840973,134.586029,76.196426,157.135117,231.489944,-41.161209,190.506821,314.191772,-49.128387,174.800797,233.193008,153.878830,193.147339,141.933624,57.939842,201.461166,-16.074215,151.216705,190.493088,62.133209,68.460335,177.758469,64.959999,-61.792080,190.428284,-10.641465,69.475418,167.499008,147.756714,352.822327,239.267181,293.571411,357.757690,197.982315,44.086983,,,,,,,,,
10,0.083333,163.416855,182.362473,310.432251,58.922348,170.698990,306.451874,283.756775,186.123703,221.470917,288.969910,191.776184,305.987366,149.830093,222.797562,-20.310440,-54.466183,172.782578,67.158493,358.221924,191.797791,-45.439613,268.538330,190.270920,-36.546383,-51.508278,185.937561,148.568573,267.640045,178.597000,50.771507,364.887390,219.706680,129.027740,156.498688,169.579239,227.321899,282.665985,184.875595,134.584686,76.195343,157.136688,231.485199,-41.161106,190.489807,314.195343,-49.122894,174.772964,233.201416,153.879990,193.140488,141.929825,57.934200,201.493332,-16.083931,151.219391,190.520630,62.122540,68.459152,177.798538,64.955132,-61.794868,190.484741,-10.640473,69.434593,167.457932,147.742554,352.943848,239.202682,293.563812,357.806274,197.962769,44.066193,,,,,,,,,
11,0.091667,163.402527,182.369003,310.463531,58.913040,170.674728,306.467743,283.772400,186.167282,221.472061,289.007202,191.862839,305.988556,149.829926,222.804886,-20.317701,-54.485332,172.794083,67.167610,358.232300,191.791046,-45.444283,268.596924,190.264862,-36.580917,-51.521446,185.925934,148.576492,267.702362,178.869034,50.723804,364.916718,219.710281,129.014206,156.504303,169.607544,227.336426,282.674347,184.896057,134.589600,76.190735,157.134018,231.496445,-41.168407,190.461533,314.201874,-49.135380,174.742966,233.215271,153.877365,193.139313,141.927322,57.925781,201.505203,-16.090488,151.213394,190.553726,62.114159,68.452217,177.816132,64.952209,-61.812851,190.510422,-10.637748,69.417091,167.475266,147.752472,353.746460,238.205933,293.964264,357.859985,197.926910,44.033192,,,,,,,,,
12,0.100000,163.364014,182.411682,310.482666,58.904568,170.620041,306.486145,283.775909,186.191238,221.476334,289.015076,191.931229,305.993195,149.839935,222.819794,-20.318953,-54.498032,172.776169,67.167236,358.247894,191.788986,-45.436043,268.619080,190.271698,-36.580654,-51.534561,185.926193,148.581146,267.709991,178.879395,50.728519,364.934784,219.717606,129.010086,156.492065,169.614471,227.355728,282.678162,184.901550,134.590378,76.183807,157.121521,231.500305,-41.176113,190.448380,314.215881,-49.148853,174.749588,233.220261,153.868668,193.155991,141.926239,57.925072,201.519974,-16.090422,151.209152,190.579437,62.122253,68.451691,177.829178,64.953529,-61.829292,190.563446,-10.628359,69.407242,167.522415,147.760468,353.831635,238.143417,293.975098,357.881287,197.923248,44.039104,,,,,,,,,
13,0.108333,163.327347,182.397339,310.488525,58.884926,170.574417,306.491638,283.752869,186.214722,221.481155,288.993774,192.006607,306.001251,149.836166,222.835373,-20.320045,-54.521046,172.778168,67.146034,358.250488,191.791504,-45.437721,268.611694,190.299210,-36.579357,-51.548542,185.934097,148.573318,267.656189,178.721039,50.732773,364.927856,219.733978,129.010223,156.469528,169.620071,227.364197,282.671204,184.912781,134.592819,76.172966,157.089447,231.505219,-41.184788,190.442734,314.215759,-49.167023,174.764145,233.215027,153.858521,193.168381,141.924606,57.920254,201.533554,-16.088089,151.189713,190.845032,62.246307,68.440292,177.846558,64.947136,-61.845161,190.606628,-10.648374,69.393082,167.537140,147.757278,353.903839,238.052368,294.002228,357.877197,197.913925,44.029678,,,,,,,,,
14,0.116667,163.301163,182.417114,310.502899,58.871578,170.506226,306.504120,283.695099,186.287216,221.475159,288.985352,192.050430,306.006042,149.835022,222.847229,-20.313066,-54.535313,172.743759,67.140877,358.243164,191.787720,-45.429985,268.598877,190.309570,-36.576508,-51.550495,185.907288,148.561600,267.743927,178.485077,50.884480,364.915802,219.744568,129.010864,156.452011,169.635025,227.374146,282.663452,184.903305,134.593155,76.155983,157.068771,231.495804,-41.181419,190.421478,314.221313,-49.180893,174.743515,233.208435,153.850403,193.157211,141.929672,57.915627,201.538849,-16.079624,151.188919,190.871735,62.242413,68.432129,177.855057,64.947289,-61.841324,190.600937,-10.650655,69.383545,167.515686,147.758789,353.984192,237.956558,294.027435,357.858398,197.922165,44.025532,,,,,,,,,
15,0.125000,163.285248,182.427338,310.508606,58.861790,170.447632,306.489807,283.680237,186.295746,221.472107,288.959930,192.183167,306.028442,149.832916,222.858917,-20.308708,-54.561878,172.724152,67.115334,358.215759,191.788864,-45.422211,268.579010,190.311401,-36.570320,-51.552708,185.903839,148.542252,267.673706,178.563980,50.775684,364.899780,219.759811,129.009933,156.438644,169.654770,227.362411,282.656982,184.908875,134.591553,76.130325,157.058655,231.461899,-41.172550,190.402298,314.202240,-49.208885,174.655518,233.170654,153.841461,193.160233,141.928482,57.903889,201.584793,-16.078367,151.179123,190.869888,62.237949,68.416039,177.854523,64.941010,-61.815975,190.651672,-10.661065,69.366570,167.473648,147.737640,353.994568,237.961136,294.004700,357.815552,197.954315,44.057873,,,,,,,,,
16,0.133333,163.276886,182.406937,310.498383,58.863972,170.387878,306.458191,283.681610,186.304245,221.472275,288.962799,192.179810,306.028717,149.831924,222.877472,-20.306578,-54.556946,172.705017,67.089531,358.193024,191.802841,-45.423904,268.576508,190.289169,-36.573284,-51.557270,185.701248,148.458023,267.723297,178.481873,50.884865,364.886230,219.764145,129.003403,156.427139,169.583511,227.380203,282.653748,184.911789,134.593842,76.137398,157.001282,231.439865,-41.157288,190.363998,314.198761,-49.162308,174.708191,233.160690,153.836472,193.165237,141.931244,57.900158,201.599808,-16.080717,151.176514,190.872818,62.240177,68.413055,177.848022,64.934723,-61.816528,190.681381,-10.665308,69.370743,167.399063,147.717468,354.030701,237.891190,294.010223,357.793732,197.970535,44.063213,,,,,,,,,
17,0.141667,163.270187,182.395508,310.473755,58.869461,170.343048,306.434662,283.681305,186.303329,221.453751,288.996368,192.040298,305.991150,149.813049,222.836349,-20.288332,-54.538521,172.698334,67.053574,358.189514,191.803589,-45.443130,268.574982,190.306442,-36.579071,-51.533745,185.693085,148.432175,267.663422,178.592148,50.772835,364.880280,219.777374,128.994095,156.419205,169.562988,227.352814,282.652954,184.917770,134.589554,76.147438,156.981461,231.421356,-41.143021,190.349594,314.193573,-49.131748,174.762390,233.125549,153.834351,193.170776,141.922760,57.898956,201.627060,-16.102154,151.178619,190.913620,62.239082,68.405624,177.911850,64.888107,-61.793762,190.728226,-10.663568,69.429901,167.295441,147.649277,354.121216,237.786224,294.031189,357.768311,197.885193,43.944458,,,,,,,,,
