Format Version,1.24,Take Name,RADs_6s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.52.52.945 PM,Capture Start Frame,1594343,Total Frames in Take,7261,Total Exported Frames,7261,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,166.292908,189.722137,310.863434,58.729336,180.071930,305.032776,285.493286,166.218140,223.231613,290.919189,171.593231,307.719147,154.934631,219.476410,-22.757063,-51.364071,206.363602,68.786880,362.731750,190.913879,-42.307529,271.977753,187.593292,-35.726391,-45.068439,229.027542,148.853516,270.295410,171.611649,51.273335,371.258514,190.811981,134.278427,157.254028,175.917908,226.505096,386.172791,171.269562,193.667664,285.341797,169.067581,135.990555,76.290543,177.796585,229.164703,-41.070053,191.504349,313.554047,-43.143913,209.784576,232.199768,158.939133,192.945999,139.709534,61.853302,205.403519,-16.675716,153.370926,192.213013,60.780128,71.163651,193.556320,66.632034,-57.861626,195.583252,-10.560645,72.896049,192.124100,148.676376,,,
7,0.058333,166.373306,189.651291,310.914307,58.762348,180.099075,305.046783,285.514252,166.194473,223.240219,290.944977,171.577850,307.721222,154.928909,219.476379,-22.743303,-51.348988,206.351074,68.808945,362.744354,190.901764,-42.313671,271.981934,187.586914,-35.728626,-44.973557,229.219376,148.906982,270.301300,171.593704,51.267067,371.293854,190.770065,134.256958,157.280212,175.927460,226.526886,386.180634,171.240524,193.666534,285.482880,168.896011,136.024948,76.347389,177.913986,229.195435,-40.971329,191.535858,313.595520,-43.100494,209.813446,232.219421,158.950195,192.927155,139.705978,61.838280,205.361145,-16.663425,153.362549,192.198639,60.787971,71.175484,193.491745,66.645340,-57.871296,195.523392,-10.516266,72.911636,191.942352,148.608841,,,
8,0.066667,166.383011,189.683594,310.930542,58.784637,180.157501,305.057007,285.498383,166.266434,223.261749,290.963959,171.619080,307.717010,154.911621,219.451492,-22.727978,-51.335262,206.365616,68.834381,362.737610,190.922287,-42.300533,271.981110,187.614212,-35.709034,-44.924484,229.266571,148.920654,270.305511,171.605545,51.275490,371.299286,190.753662,134.262756,157.294464,175.969727,226.535721,386.203308,171.254745,193.642197,285.573608,168.817261,136.037247,76.363068,177.966385,229.202667,-40.953079,191.822998,313.674713,-43.072483,209.855423,232.230606,158.950531,192.939926,139.726227,61.829090,205.347015,-16.644667,153.365799,192.157761,60.804214,71.172844,193.441818,66.651108,-57.865875,195.498550,-10.451267,72.915604,191.931259,148.617081,,,
9,0.075000,166.340302,190.116013,311.042694,58.815865,180.139771,305.064484,285.519897,166.286987,223.268417,290.983429,171.647964,307.726746,154.907745,219.435410,-22.711132,-51.305637,206.355316,68.865433,362.749146,190.906525,-42.295582,271.982910,187.610184,-35.703423,-44.838947,229.287262,148.874863,270.304993,171.589355,51.276726,371.316956,190.707001,134.263550,157.307281,175.996277,226.551758,386.233612,171.253784,193.631363,285.594788,168.811188,136.040466,76.385681,177.967484,229.219406,-40.869480,191.435043,313.647369,-43.026459,209.894165,232.264435,158.952164,192.939606,139.724274,61.679111,205.740082,-16.652264,153.389343,192.105865,60.817078,71.193062,193.439224,66.656876,-57.847813,195.429504,-10.397482,72.940994,191.897583,148.629257,,,
10,0.083333,166.355042,190.168350,311.056122,58.837769,180.122757,305.090332,285.536896,166.345062,223.287415,291.006165,171.709457,307.738708,154.914261,219.424850,-22.701458,-51.246891,206.406982,68.903488,362.767029,190.912949,-42.286015,271.982513,187.613327,-35.693790,-44.804714,229.322021,148.896515,270.320374,171.595108,51.285843,371.326752,190.680511,134.267395,157.319641,176.024841,226.578613,386.250793,171.274704,193.632050,285.656372,168.831467,136.085068,76.401054,177.977264,229.247513,-40.853756,191.677017,313.742157,-42.990753,209.907242,232.294937,158.962708,192.934662,139.738281,61.686562,205.843155,-16.620371,153.396286,192.091675,60.837364,71.219040,193.418594,66.673668,-57.840988,195.469513,-10.347163,72.950371,192.065964,148.725372,,,
11,0.091667,166.370468,190.172333,311.062500,58.859600,180.075180,305.101532,285.550018,166.337189,223.289047,291.035614,171.753494,307.729218,154.916443,219.412598,-22.696844,-51.214603,206.427567,68.926628,362.791748,190.885086,-42.300667,272.028839,187.588287,-35.664200,-44.820133,229.419083,148.941025,270.284668,171.444107,51.292004,371.333038,190.652573,134.265717,157.316910,176.048447,226.628784,386.367859,171.205765,193.642441,285.680573,168.783875,136.083603,76.415413,177.938614,229.253189,-40.825951,191.697144,313.769318,-42.955776,209.910614,232.331650,158.974991,192.926544,139.738647,61.721020,205.761993,-16.598705,153.400467,192.074402,60.845596,71.235565,193.401642,66.687218,-57.827030,195.467468,-10.300614,72.976410,192.051300,148.745117,,,
12,0.100000,166.374084,190.178268,311.061523,58.886044,180.067062,305.109100,285.556885,166.319229,223.285767,291.059357,171.732925,307.727325,154.914383,219.383026,-22.707249,-51.197205,206.445389,68.950020,362.797638,190.867477,-42.297600,271.999298,187.558746,-35.693466,-44.807236,229.458542,148.962051,270.278259,171.392746,51.291573,371.337158,190.636398,134.253799,157.324219,176.058762,226.633316,386.400421,171.218460,193.671432,285.690857,168.756729,136.078812,76.433533,177.931442,229.257797,-40.792191,191.705963,313.790344,-42.901051,209.974274,232.416809,158.982605,192.921707,139.734070,61.734058,205.725510,-16.583221,153.403824,192.055862,60.842751,71.325829,193.275452,66.711624,-57.808338,195.499573,-10.271032,72.991837,192.052460,148.741470,,,
13,0.108333,166.391266,190.197235,311.058228,58.909107,180.077774,305.109985,285.560028,166.286026,223.275818,291.072418,171.702225,307.719177,154.909805,219.366364,-22.711742,-51.189831,206.498642,68.967781,362.784943,190.877228,-42.292221,271.980621,187.581619,-35.698753,-44.796379,229.477264,148.975204,270.320404,171.532654,51.278191,371.332245,190.626404,134.257843,157.354034,176.099838,226.585144,386.407410,171.195129,193.684280,285.621826,168.743057,136.038040,76.443886,177.953232,229.257614,-40.758617,191.736603,313.806366,-42.874634,209.990799,232.432449,158.982330,192.939423,139.733261,61.723598,205.718811,-16.585070,153.335678,192.075226,60.944225,71.353668,193.215759,66.716667,-57.824936,195.547272,-10.252828,72.994865,192.077042,148.749985,,,
14,0.116667,166.491714,190.244873,311.080780,58.965065,180.064835,305.133423,285.599457,166.169006,223.241364,291.093689,171.615555,307.719238,154.911819,219.339828,-22.717136,-51.189598,206.499237,68.998329,362.787842,190.875854,-42.300144,271.984619,187.575974,-35.702091,-44.776482,229.462082,148.990128,270.281372,171.409882,51.277832,371.330292,190.584579,134.247009,157.422821,176.073669,226.622772,386.396210,171.175323,193.674652,285.653015,168.742325,136.066849,76.461838,177.956009,229.265152,-40.728260,191.742889,313.833038,-42.857372,209.974686,232.454437,158.991333,192.935120,139.732559,61.722370,205.687836,-16.593508,153.364594,192.041382,60.863155,71.528290,192.689606,66.802704,-57.863457,195.615341,-10.250364,73.041916,192.043900,148.730392,,,
15,0.125000,166.510956,190.274979,311.080444,58.986652,180.123566,305.159576,285.605621,166.133438,223.231339,291.110413,171.583267,307.709656,154.899734,219.344193,-22.710779,-51.195595,206.533997,69.043884,362.778778,190.896667,-42.294079,271.984100,187.592010,-35.692944,-44.764980,229.503738,149.025040,270.322601,171.528519,51.267197,371.271118,190.475708,134.254013,157.416565,176.105667,226.676605,386.378937,171.118576,193.672852,285.617615,168.705826,136.033676,76.467949,178.011414,229.284485,-40.715424,191.770828,313.864807,-42.836155,209.993637,232.500092,159.001282,192.942871,139.740311,61.701656,205.667816,-16.580206,153.306595,192.084213,60.980606,71.497086,192.652008,66.826637,-57.889984,195.638702,-10.199644,73.053452,192.073975,148.752945,,,
