Format Version,1.24,Take Name,RADs_12s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.50.46.302 PM,Capture Start Frame,1579145,Total Frames in Take,7283,Total Exported Frames,7283,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,165.956345,188.799484,312.166199,60.877941,175.134872,306.584473,285.525604,176.617172,222.518097,290.954498,179.054886,307.391785,149.948990,192.475967,-26.998453,-51.484344,192.578491,72.131248,360.322052,191.239410,-43.942593,270.578125,174.196472,-36.690617,-48.806431,193.212692,152.877396,269.578552,173.108063,51.968376,370.210693,202.754837,133.054718,157.120239,182.730118,227.226974,384.684326,181.550522,192.098160,285.375671,179.503036,135.741562,79.468925,168.539093,231.350906,-39.114197,187.355316,316.152496,-47.110737,171.259094,235.201614,157.351517,205.131668,140.487350,61.363453,198.314423,-18.826574,151.995621,190.719910,59.986893,69.559067,182.879654,64.661316,-52.983795,235.052475,-0.308482,71.192917,179.528412,147.739822
7,0.058333,165.955444,188.734726,312.143494,60.882488,175.108261,306.556030,285.529175,176.589447,222.504517,290.960571,178.990921,307.383240,149.955978,192.465637,-27.004759,-51.475670,192.600372,72.107765,360.324463,191.213928,-43.962139,270.580933,174.163330,-36.706181,-48.800274,193.206390,152.862915,269.586884,173.100082,51.960011,370.186310,202.754654,133.054932,157.123962,182.708923,227.204391,384.680237,181.539001,192.102814,285.316345,179.506973,135.749680,79.473366,168.514282,231.317856,-39.113152,187.350159,316.123810,-47.101082,171.222824,235.171570,157.357727,205.164581,140.474136,61.395157,198.316345,-18.837440,152.003830,190.728500,59.970329,69.584778,182.892334,64.647476,-52.958229,235.131882,-0.300006,71.237770,179.472412,147.683136
8,0.066667,165.946625,188.760666,312.112946,60.845894,175.134262,306.483276,285.518280,176.615875,222.478241,290.941010,178.977432,307.341644,149.954453,192.461823,-27.018826,-51.458946,192.565002,72.049583,360.334015,191.168243,-44.000507,270.588104,174.155411,-36.718174,-48.801590,193.267410,152.834808,269.585938,173.096039,51.954655,370.239441,202.549545,132.928467,157.120773,182.709137,227.175385,384.683624,181.579819,192.070770,285.333679,179.535416,135.717422,79.465363,168.562805,231.278656,-39.129765,187.362030,316.083466,-47.110809,171.220367,235.116974,157.403534,205.232880,140.314270,61.412315,198.342712,-18.874254,151.999084,190.738861,59.955425,69.620216,182.905869,64.576668,-52.949337,235.399323,-0.252660,71.124992,179.609070,147.761673
9,0.075000,165.957230,188.719421,312.104431,60.853863,175.105453,306.470337,285.533722,176.573502,222.464325,290.946808,178.928589,307.328217,149.961792,192.458862,-27.030695,-51.432495,192.529633,72.045532,360.345703,191.164749,-44.019222,270.593781,174.134109,-36.741589,-48.789787,193.346512,152.798965,269.590179,173.106018,51.948925,370.270844,202.549454,132.889420,157.127029,182.716660,227.154327,384.676910,181.547150,192.082550,285.353088,179.540619,135.702103,79.475037,168.550873,231.260529,-39.123676,187.356995,316.075592,-47.099297,171.204407,235.108688,157.405685,205.324341,140.282959,61.411777,198.329758,-18.886660,152.000320,190.736862,59.944592,69.635605,182.890244,64.561668,-52.933224,235.422348,-0.226545,71.225449,179.484436,147.652054
10,0.083333,165.958099,188.692612,312.096588,60.855881,175.095139,306.463257,285.509735,176.604324,222.433426,290.941132,178.889084,307.316498,149.952713,192.479782,-27.039402,-51.433216,192.544754,72.053802,360.340881,191.168869,-44.037769,270.507477,174.274765,-36.762669,-48.739246,193.288940,152.764969,269.587494,173.113098,51.940933,370.276550,202.561218,132.884705,157.127762,182.739655,227.150223,384.685211,181.573761,192.063446,285.352661,179.558014,135.692001,79.471428,168.575851,231.243469,-39.116589,187.349258,316.078796,-47.094501,171.206345,235.108810,157.396988,205.334274,140.268158,61.402706,198.321625,-18.881981,151.990814,190.738998,59.930920,69.629204,182.871201,64.559631,-52.939079,235.415985,-0.210289,71.244980,179.521179,147.638397
11,0.091667,165.972626,188.650513,312.118317,60.899048,175.075943,306.503815,285.534576,176.552505,222.454620,290.947784,178.840118,307.332397,149.957275,192.490814,-27.024351,-51.456085,192.586197,72.100159,360.343933,191.155304,-44.056454,270.565430,174.291107,-36.772453,-48.776779,193.277313,152.845306,269.597046,173.128708,51.944611,370.276031,202.550400,132.887650,157.135559,182.732346,227.162903,384.673981,181.546738,192.081268,285.353973,179.559219,135.700241,79.480759,168.588715,231.266953,-39.101986,187.344543,316.099396,-47.084637,171.205246,235.140213,157.393616,205.315033,140.284363,61.398224,198.350403,-18.854004,151.997971,190.752640,59.950909,69.635155,182.865753,64.582710,-52.945339,235.307846,-0.223847,71.248993,179.529831,147.655685
12,0.100000,165.998535,188.625839,312.137970,60.913204,175.033234,306.544037,285.547089,176.532425,222.457520,290.971527,178.793823,307.335205,149.944962,192.489594,-27.015078,-51.460545,192.590652,72.131279,360.334320,191.149323,-44.064060,270.507538,174.270203,-36.767525,-48.791885,193.232437,152.874329,269.597260,173.148804,51.948849,370.328278,202.602402,132.952286,157.143478,182.713821,227.183350,384.689178,181.583984,192.080475,285.359833,179.493088,135.731583,79.486862,168.565704,231.291763,-39.090096,187.331207,316.121277,-47.079063,171.214966,235.164398,157.398956,205.294434,140.299835,61.395187,198.395859,-18.838366,151.991119,190.767944,59.957199,69.601791,182.869904,64.594711,-52.959053,235.238708,-0.227381,71.097855,179.670776,147.814438
13,0.108333,166.009842,188.618118,312.147217,60.924599,175.056076,306.559448,285.547791,176.555420,222.473267,290.992767,178.748230,307.353821,149.935989,192.505722,-27.001928,-51.466381,192.601410,72.173477,360.322144,191.161102,-44.053734,270.465179,174.332474,-36.729733,-48.797375,193.253113,152.890305,269.591370,173.172684,51.964085,370.243683,202.807709,133.015060,157.177963,182.684952,227.241089,384.681549,181.563919,192.105286,285.628662,179.115936,135.780441,79.487244,168.556107,231.311371,-39.084927,187.341934,316.138824,-47.078655,171.234360,235.186371,157.401535,205.316162,140.322968,61.381687,198.464371,-18.808134,151.986038,190.796326,59.971527,69.595802,182.916916,64.617050,-53.015488,235.401199,-0.115131,71.080605,179.695374,147.842102
14,0.116667,166.026749,188.565659,312.173798,60.937855,175.016144,306.580048,285.571777,176.528000,222.489609,291.026947,178.690338,307.379944,149.936218,192.510147,-26.986500,-51.465965,192.575745,72.201607,360.320221,191.145279,-44.043526,270.461487,174.444443,-36.658672,-48.789860,193.242249,152.918976,269.598633,173.163101,51.959961,370.267212,202.874344,133.103821,157.192703,182.660995,227.262115,384.686188,181.594971,192.107239,285.632233,179.131195,135.782364,79.492409,168.543030,231.332291,-39.075657,187.326584,316.156067,-47.074833,171.189240,235.210281,157.364532,205.276703,140.469162,61.380226,198.498856,-18.784416,151.985977,190.797272,59.987976,69.604477,182.900055,64.632950,-53.038517,235.502014,-0.039521,71.089798,179.692917,147.857941
15,0.125000,166.025940,188.574127,312.170166,60.933353,175.050705,306.584747,285.560516,176.570618,222.489105,291.024750,178.698685,307.381409,149.935165,192.534103,-26.980515,-51.466541,192.612991,72.218102,360.312592,191.155441,-44.034164,270.461395,174.336914,-36.715939,-48.784389,193.283447,152.937759,269.596497,173.182144,51.968601,370.291901,202.853577,133.116318,157.182159,182.692368,227.264938,384.697662,181.579239,192.115662,285.630585,179.168732,135.785065,79.488617,168.581985,231.337250,-39.084484,187.333984,316.157410,-47.070274,171.173782,235.238220,157.583496,204.670502,140.603088,61.378613,198.536758,-18.768190,151.979675,190.812027,59.995861,69.600273,182.919495,64.641754,-53.029583,235.546875,-0.040505,71.206123,179.597122,147.762192
